,Progress,Recorded_Date,Response_ID,What_is_your_age_,What_gender_do_you_identify_as_Selected_Choice,What_gender_do_you_identify_as_Other_please_specify_below_Text,Do_you_currently_reside_in_New_York_State_,What_state_do_you_currently_reside_in_,Are_you_employed_in_the_same_state_you_reside_,Please_specify_in_which_state_you_are_employed_,Would_you_consider_yourself_an_introvert_or_extrovert_,In_which_setting_do_you_currently_work_,How_long_have_you_been_working_as_a_Speech_Language_Pathologist_,How_long_have_you_been_employed_in_your_present_position_,What_is_your_highest_degree_of_education_earned_,Who_are_you_employed_by_Selected_Choice,Who_are_you_employed_by_Other_please_specify_below_Text,How_many_hours_of_work_are_you_paid_for_each_week_,What_is_the_age_range_of_the_population_you_serve_Select_all_that_apply_0_3,What_is_the_age_range_of_the_population_you_serve_Select_all_that_apply_4_10,What_is_the_age_range_of_the_population_you_serve_Select_all_that_apply_10_14,What_is_the_age_range_of_the_population_you_serve_Select_all_that_apply_15_18,How_many_clients_are_on_your_active_caseload_i_e_Those_you_see_at_least_once_a_month_,How_many_clients_are_on_your_waiting_list_for_First_time_assessment,How_many_clients_are_on_your_waiting_list_for_Repeat_assessment,How_many_clients_are_on_your_waiting_list_for_First_time_treatment,How_many_clients_are_on_your_waiting_list_for_Repeat_treatment,How_many_clients_are_on_your_waiting_list_for_Other,How_many_clients_did_you_see_on_your_last_workday_,For_the_following_question_please_answer_how_frequently_you_implement_the_various_types_of_intervention_One_on_One_intervention,For_the_following_question_please_answer_how_frequently_you_implement_the_various_types_of_intervention_One_clinician_with_two_clients,For_the_following_question_please_answer_how_frequently_you_implement_the_various_types_of_intervention_Small_Groups_3_5_clients_,For_the_following_question_please_answer_how_frequently_you_implement_the_various_types_of_intervention_Larger_Groups_more_than_5_clients_,Please_select_the_statement_that_applies_most_to_you_regarding_the_range_of_impairments_you_handle_in_your_setting_,What_is_the_approximate_number_of_hours_you_spent_engaged_in_each_of_the_following_activities_last_week_please_specify_N_A_for_the_activities_that_do_not_apply_Treatment_planning,What_is_the_approximate_number_of_hours_you_spent_engaged_in_each_of_the_following_activities_last_week_please_specify_N_A_for_the_activities_that_do_not_apply_Treatment_and_assessment,What_is_the_approximate_number_of_hours_you_spent_engaged_in_each_of_the_following_activities_last_week_please_specify_N_A_for_the_activities_that_do_not_apply_Research_related_activities,What_is_the_approximate_number_of_hours_you_spent_engaged_in_each_of_the_following_activities_last_week_please_specify_N_A_for_the_activities_that_do_not_apply_Administration_and_Meetings,What_is_the_approximate_number_of_hours_you_spent_engaged_in_each_of_the_following_activities_last_week_please_specify_N_A_for_the_activities_that_do_not_apply_Report_writing,What_is_the_approximate_number_of_hours_you_spent_engaged_in_each_of_the_following_activities_last_week_please_specify_N_A_for_the_activities_that_do_not_apply_Consultation_with_other_professionals,What_is_the_approximate_number_of_hours_you_spent_engaged_in_each_of_the_following_activities_last_week_please_specify_N_A_for_the_activities_that_do_not_apply_Supervising_or_teaching_other_clinical_facilitators,What_is_the_approximate_number_of_hours_you_spent_engaged_in_each_of_the_following_activities_last_week_please_specify_N_A_for_the_activities_that_do_not_apply_Other,For_the_following_question_please_select_the_options_that_best_describe_your_workplace_environment_Overall_I_am_satisfied_with_my_job_,For_the_following_question_please_select_the_options_that_best_describe_your_workplace_environment_I_have_enough_support_to_do_my_job_,For_the_following_question_please_select_the_options_that_best_describe_your_workplace_environment_The_people_I_work_with_are_friendly_,For_the_following_question_please_select_the_options_that_best_describe_your_workplace_environment_The_people_I_work_with_take_an_interest_in_what_I_do_,For_the_following_question_please_select_the_options_that_best_describe_your_workplace_environment_I_have_enough_resources_to_do_my_job_,For_the_following_question_please_select_the_options_that_best_describe_your_workplace_environment_My_supervisor_is_helpful_,For_the_following_question_please_select_the_options_that_best_describe_your_workplace_environment_I_feel_connected_to_the_place_I_work_in_,For_the_following_question_please_select_the_options_that_best_describe_your_workplace_environment_I_enjoy_the_type_of_clients_I_work_with_,For_the_following_question_please_select_the_options_that_best_describe_your_workplace_environment_In_my_present_position_I_have_opportunities_for_professional_development_i_e_conferences_continuing_education_seminars_,For_the_following_question_please_select_the_options_that_best_describe_your_workplace_environment_There_are_opportunities_for_promotion_in_my_career_,For_the_following_question_please_select_the_options_that_best_describe_your_workplace_environment_Changes_to_the_system_within_which_I_work_i_e_in_the_last_5_10_years_have_affected_my_ability_to_do_my_job_,For_the_following_question_please_select_the_options_that_best_describe_your_workplace_environment_My_caseload_is_manageable_,What_do_you_enjoy_most_about_your_job_,What_do_you_enjoy_least_with_your_job_,Are_there_any_aspects_of_job_satisfaction_that_were_not_addressed_in_this_survey_Please_specify_below_,Has_covid_19_impacted_your_overall_job_satisfaction_,Please_specify_below_how_covid_19_has_impacted_your_overall_job_satisfaction_
0,"{""ImportId"":""progress""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_4_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_3_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15"",""choiceId"":""1""}","{""ImportId"":""QID15"",""choiceId"":""2""}","{""ImportId"":""QID15"",""choiceId"":""3""}","{""ImportId"":""QID15"",""choiceId"":""4""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID21_5""}","{""ImportId"":""QID21_6""}","{""ImportId"":""QID21_7""}","{""ImportId"":""QID21_8""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID22_6""}","{""ImportId"":""QID22_7""}","{""ImportId"":""QID22_8""}","{""ImportId"":""QID22_9""}","{""ImportId"":""QID22_10""}","{""ImportId"":""QID22_11""}","{""ImportId"":""QID22_12""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_TEXT""}"
1,100,2022-10-18 11:50:23,R_x5vWSM9ylwR4MGB,3,2,,2,Massachusetts,1,,1,1,6,6,2,3,pediatric hospital,40,1,1,1,1,0,50,50,50,0,0,3,1,1,1,1,1,0,15,0,25,5,5,5,0,4,4,5,4,5,4,4,4,5,4,5,4,"mentoring new staff, grad students",administrative tasks,no,2,
2,100,2022-10-18 12:38:12,R_3DnpHuhyJCtQBeQ,2,2,,2,Massachusetts,1,,1,1,2,2,2,3,Boston Children's Hospital,40,1,1,1,1,12,50,50,30,0,0,1,5,1,1,1,1,5,16,1,2,14,4,0,,5,5,5,5,5,5,2,5,4,4,3,4,I enjoy the variety of cases I get to see and the balance of evaluation and therapies. ,I wish there was more opportunity to spend my work days collaborating and in professional development.,I have no idea how many clients are on our evaluation/reevaluation waitlist so I arbitrarily picked 50 because the survey required me to put down a number.,1,We have to spend more time cleaning than we otherwise would have had to. The work environment is also less social due to rules and restrictions related to covid. I started last Fall so I have been less impacted by other more major implications of covid. 
3,100,2022-10-18 12:54:20,R_1eJ1lSpyJntgNuZ,2,2,,2,Massachusetts,1,,2,1,4,4,2,3,Pediatric Hospital,40,1,1,1,1,60,0,0,0,0,0,5,5,1,1,1,2,4,25,1,2,10,3,5,0,4,4,5,5,4,4,5,5,5,1,3,4,"The people I work with, the collaboration with other providers, working directly with families, flexiblity","Poor pay, no opportunities for furthering up career ladder",No,1,"Transition to partial virtual/hybrid visits, disorganization, no longer providing group visits, limited social interactions with colleagues, etc."
4,100,2022-10-18 13:36:54,R_3JqlVEOMvj1wlH1,2,2,,1,,1,,2,2,5,5,2,3,Non-for profit preschool,35,1,1,,,20,0,0,0,0,0,10,4,4,4,1,1,2,25,5,5,1,5,3,5,5,5,5,5,5,5,5,5,5,2,4,5,"I love having a Speech Department and being able to collaborate with other professionals (teacher, OT, PT, Psychologist)to work as a team. I enjoy working within the early childhood setting with children with varied disabilities/needs.",It is frustrating when school districts place children in the wrong placement. I also wish to have the same pay/benefits as an SLP in a school district. ,I think compensation should be addressed in this survey. There is such a gap between pay based on the setting that SLP's work in. ,1,"We had to learn how to do teletherapy fast to help accommodate our students. When we came back to school, different rules were put into place to keep everyone safe, however the rules did not always make sense. Most importantly, wearing a mask while providing therapy to young language learners, children with hearing impairments, ASD students, and while providing articulation therapy was difficult. I felt like it was a disservice for our students. ASHA had a statement that there were no studies to support the long-term impact on speech and language development when young children interact with adults who are wearing facemasks, however as a clinician we were always taught the importance of children being able to watch our mouths to produce sounds, facial expressions, and to improve eye contact. 1 technique while providing Early Intervention is to place desired objects near our face to improve eye contact but as for the child to watch us model words. This clearly was not as much effective while wearing a mask."
5,100,2022-10-18 13:59:16,R_33j05HHanLBPGCC,3,2,,2,Massachusetts,1,,2,1,6,6,2,3,Hospital,40,1,1,1,1,12,79,0,39,0,0,4,5,3,3,1,2,2,16,5,3,12,1,2,2,5,4,5,5,4,5,4,5,5,1,4,3,I enjoy the mix of direct clinical care with opportunities for research.,"No time allotment for research, mentoring of new hires or departmental projects.  We are expected to do all of these things, but there is no time set aside to accomplish these tasks. ",No,1,We continue to be fully masked making assessment at times difficult.  Parents are routinely bringing kids in who are sick.
6,100,2022-10-18 15:12:54,R_eRNMjcQFsn2uZbj,2,2,,2,Massachusetts,1,,1,1,4,2,2,3,Hospital ,20,1,1,1,1,5,100,0,25,0,0,2,5,2,1,1,1,2,10,.5,.5,5,2,0,0,4,4,5,3,2,3,4,4,5,4,3,2,variation of the types of patients we see ,report writing ,no ,2,
7,100,2022-10-18 17:18:11,R_3QQ2F9ewTuJBy9b,3,2,,2,Massachusetts,1,,1,1,6,2,2,3,Pediatric Hospital,40,1,1,1,1,15,50,20,20,0,0,5,5,1,1,1,1,2,25,1,1,5,1,0,0,4,4,4,4,4,4,3,3,4,3,3,5,I enjoy conducting assessments.,It can be isolating.,,1,I started this position in May 2021 when people were just starting to come back to the office and adopt a hybrid work schedule. It's been difficult to get to know new people as we continue to have a mask requirement.
8,100,2022-10-18 19:02:44,R_2DN2Ptu50Kl2vTL,3,2,,1,,1,,1,2,6,6,2,3,private center based preschool,26,1,1,,,14,0,0,0,0,0,10,5,2,2,1,1,2.0,20.0,.5,1.0,1.0,1.0,1.0,,4,2,4,4,2,4,3,5,4,1,3,4,the children on my caseload,administration micromanaging how the speech therapists determine the communication systems of the children we treat. ,No,1,The children's ability to play with toys and to leave a device has significantly diminished following covid. We are also seeing a dramatic increase in significant negative and violent behaviors of our your children. We service children aged 3-5 at our school.
9,100,2022-10-19 19:35:01,R_6gR0EKjsv8HvEid,2,2,,2,MA,1,,1,1,6,6,2,3,"local pediatric hospital, also self employed (private practice)",25,1,1,1,1,8,100,50,25,0,0,3,5,1,1,1,1,3,11,0,2,9,1,1,0,4,4,5,5,5,5,5,5,5,1,4,3,"Sharing ideas with colleagues, working with families","Dealing with insurance, meetings, hospital-based trainings that are completely unrelated to what I do and a waste of time",work-life balance,1,"Having to wipe everything down between patients makes scheduling difficult. Also, having to wear a mask is challenging when working with patients who have speech disorders and social-pragmatic deficits. Unable to use toys that are not made of plastic anymore (can't use most board games, wooden toys, etc.)."
